university,fraternity,location,mailing_address,chapter_address,letter index,skip,mailed,suspended recentlyish,contact name,email,phone,status
MIT,Alpha Delta Phi,Boston,,"351 Massachusetts Ave, Cambridge, MA 02139",0,0,0,,,,,
MIT,Alpha Epsilon Phi,Boston,"Name	Mutaw Corp
Address	330 Beacon St
Boston, MA 02116","155 Bay State Rd, Boston, MA 02215",2,0,1,,,,,
MIT,Beta Theta Pi,Boston,"BETA UPSILON ASSOC MA Corporate Owner	
43609 Winthrop Ct
Ashburn, VA, 20147","119 Bay State Rd, Boston, MA 02215",0,0,1,,,,,
MIT,Chi Phi,Boston,"BETA FOUNDATION Corporate Owner	
32 Hereford St
Boston, MA","32 Hereford St, Boston, MA 02115",0,0,1,,,,,
MIT,Delta Kappa Epsilon,Boston,"Name	Association Of Sigma Tau
Address	6034 Rose St
Houston, TX 77007","403 Memorial Dr, Cambridge, MA 02139",0,0,1,,,,,
MIT,Delta Psi - No. 6,Boston,"Name	Tau Chapter Assoc Inc
Address	10 Dana St
Cambridge, MA 02138","428 Memorial Dr, Cambridge, MA 02139",0,0,1,,,,,
MIT,Delta Upsilon,Boston,,"526 Beacon St, Boston, MA 02215",,1,0,1,note that this is now the home of the Theta Tau chapter,,,
MIT,Delta Tau Delta,Boston,"BETA NU HOUSE CORP Corporate Owner	
3 Sunset Ln
Hingham, MA","416 Beacon St, Boston, MA 02115",0,0,1,,,,,
MIT,Kappa Sigma,Boston,"Name	Mass Institute Of Tchnlgy
Address	238 Main St 200
Cambridge, MA 02142","407 Memorial Dr, Cambridge, MA 02139",1,0,1,,1,,,
MIT,Lambda Chi Alpha,Boston,"BRUCE TWICKLER, 
SECRETARY 45 COMMONWEALTH #2
BOSTON, 02116 MA","99 Bay State Road Boston, MA",0,0,0,1,"twickler@alum.mit.edu
bruce twickler",https://opencorporates.com/companies/us_ma/000012793,"dorsch@mit.edu
dan dorsch",https://sigmanu.mit.edu/alumni
MIT,Nu Delta,Boston,"ALUMNI ASSOC OF NU DELTA Corporate Owner 
503 8Th Ave Apt 3
Brooklyn, NY, 11215","460 Beacon St, Boston, MA 02115",0,0,1,,,,,
MIT,Phi Beta Epsilon,Boston,"Name	Phi Beta Epsilon Corp
Address	1 Po Box 1133 1915
New London, NH 03257","400 Memorial Dr, Cambridge, MA 02139",0,0,1,,,,,
MIT,Phi Delta Theta,Boston,"Name	Alumni Incorporate
Address	902 Salem End Rd
Framingham, MA 01702","97 Bay State Rd, Boston, MA 02215",0,0,1,,,,,
MIT,Phi Kappa Sigma,Boston,"WILLIAM G DENHARD        
8 Avon Rd
Wellesley, MA 02482","530 Beacon St, Boston, MA 02215",2,0,1,,,,,
MIT,Phi Kappa Theta,Boston,"ETA CHAPTER PHI KAPPA ALM        
4 Kerrigan Way
Woburn, MA 01801","229 Commonwealth Avenue, Boston, MA 02116",0,0,1,,,,,
MIT,Phi Gamma Delta,Boston,,,,,,,,,,
MIT,Phi Sigma Kappa,Boston,"Name	Alumni Assoc Of Omicron
Address	1545 Ridgemoor Dr 301
Silver Spring, MD 20901","487 Commonwealth Avenue, Boston, MA 02215",0,0,1,,,,,
MIT,Pi Lambda Phi,Boston,"450 BEACON ST INC Corporate Owner        
7 Chessman Dr
Sharon, MA 02067","450 Beacon St, Boston, MA 02115",2,0,1,,,,,
MIT,Sigma Alpha Epsilon,Boston,"Name	Mutaw Corp
Address	330 Beacon St
Boston, MA 02116","165 Bay State Rd, Boston, MA 02215",2,0,1,,,,,
MIT,Sigma Chi,Boston,"ALPHA THETA CHAPTER SIGMA        
44 Boulder Brook Rd
Wellesley, MA 02481","532 Beacon St, Boston, MA 02215",0,0,1,,,,,
MIT,Sigma Phi Epsilon,Boston,"Name	Mass Delta Alumni Corp
Address	331 Summer St 2
Somerville, MA 02144","518 Beacon St, Boston, MA 02215",0,0,1,,,,,
MIT,Tau Epsilon Phi,Boston,"MASSACHUSETTS INSTITUTE        
Po Box 397068
Cambridge, MA","253 Commonwealth Avenue, Boston, MA 02116",1,1,1,,,,,
MIT,Theta Chi,Boston,"BETA CHAPTER OF THETA CHI Corporate Owner        
641 Exeter Rd
Hampton, NH 03842","528 Beacon St, Boston, MA 02215",0,0,1,,,,,
MIT,Theta Delta Chi,Boston,"Name        Theta Deuteron House Corp
Address        40 E 9 St 11g
New York, NY 10003","372 Memorial Dr, Cambridge, MA 02139",0,0,1,,,,,
MIT,Theta Tau,Boston,"TECH DELTA UPSILON ASSOC Corporate Owner        
140 Old Littleton Rd
Harvard, MA 01451
","526 Beacon St, Boston, MA 02215",0,0,1,,,,,
MIT,Theta Xi,Boston,"THETA XI HOUSING CORP Corporate Owner        
64 Bay State Rd
Boston, MA 02215","64 Bay State Rd, Boston, MA 02215",0,1,1,,,,,
MIT,Zeta Beta Tau,Boston,"Name	Dover Club Of Mit Inc
Address	58 Manchester Rd 2
Brookline, MA 02446","58 Manchester Rd, Brookline, MA 02446",0,0,1,,,,,
MIT,Zeta Psi,Boston,"Name        Mit 233 Mass Ave
Address        238 Main St 200
Cambridge, MA 02142","233 Massachusetts Ave, Cambridge, MA 02139",2,0,1,,,,,
Georgia Tech,Alpha Epsilon Pi,Atlanta,"Name	Zeta House Corp
Address	8815 Wesleyan Rd
Indianapolis, IN 46268","714 Techwood Dr NW, Atlanta, GA 30313",0,0,1,,,,,
Georgia Tech,Alpha Sigma Phi,Atlanta,"Name	Clven Zeta Eta LLC
Address	710 Adams St
Carmel, IN 46032","171 5th St NW, Atlanta, GA 30313",0,0,1,,,,,
Georgia Tech,Alpha Tau Omega,Atlanta,"Name	Richmond Property Group LTD
Address	1 N Pennsylvania St 1200
Indianapolis, IN 46204","205 4th St NW, Atlanta, GA 30313",1,0,1,,,,,
Georgia Tech,Beta Theta Pi,Atlanta,"Name	Gamma Eta Assn Beta Theta
Address	2160 Niles Pl Ne
Atlanta, GA 30324","764 Fowler St NW, Atlanta, GA 30313",0,0,1,,,,,
Georgia Tech,Chi Phi,Atlanta,"Name        Omega Trust Assn
Address        245 N Highland Ave NE 230-159
Atlanta, GA 30307","720 Fowler St NW, Atlanta, GA 30313",0,0,1,,,,,
Georgia Tech,Chi Psi,Atlanta,,"150 4th St NW, Atlanta, GA 30313",0,0,0,,,,,
Georgia Tech,Delta Chi,Atlanta,"Name        Regents Univ System Of Ga
Address        270 Washington St Sw
Atlanta, GA 30334","176 5th St NW, Atlanta, GA 30313",1,0,1,,,,,
Georgia Tech,Delta Sigma Phi,Atlanta,,"165 4th St NW, Atlanta, GA 30313",0,0,0,,,,,
Georgia Tech,Delta Tau Delta,Atlanta,,"4th St NW, Atlanta, GA 30313",0,0,0,,,,,
Georgia Tech,Delta Upsilon,Atlanta,"Name	Delta Upsilon Alumni Club Of Georgia
Address	P O Box 250482
Atlanta, GA 30325","154 5th St NW, Atlanta, GA 30313",0,0,1,,,,,
Georgia Tech,Kappa Alpha Order,Atlanta,"Name	Alpha Sigma Properites Inc
Address	400 Galleria Pkwy SE 1900
Atlanta, GA 30339","801 Techwood Dr NW, Atlanta, GA 30313",0,0,1,,,,,
Georgia Tech,Kappa Sigma,Atlanta,"Name	Kappa Sigma House Corp
Address	3253 Bakewell St
Douglasville, GA 30135","182 6th St NW, Atlanta, GA 30313",0,0,1,,,,,
Georgia Tech,Lambda Chi Alpha,Atlanta,"Name        Beta Kappa House Corp
Address        2870 Pharr Ct S #1501
Atlanta, GA 30305","792 Techwood Dr NW, Atlanta, GA 30313",0,0,1,1,Chris Morris,lcabk.housecorptreasurer@gmail.com,"https://websites.omegafi.com/omegaws/lambdachialphageorgiatech/files/2018/06/The-Rambler-Fall-2017.pdf
https://osi.gatech.edu/student-organization-conduct-history",
Georgia Tech,Phi Delta Theta,Atlanta,"Name        Phi Delta Theta Georgia Delta Alumni Assn
Address        3639 Chelsea Cres Ne
Atlanta, GA 30319","734 Fowler St NW, Atlanta, GA 30313",0,0,1,,,,,
Georgia Tech,Phi Gamma Delta,Atlanta,"Name	Gamma Tau Inc
Address	1730 Mt Vernon Rd G
Atlanta, GA 30338","841 Fowler St NW, Atlanta, GA 30313",0,0,1,,,,,
Georgia Tech,Phi Kappa Psi,Atlanta,,NA,0,0,0,,,,,
Georgia Tech,Phi Kappa Sigma,Atlanta,"Name	Alpha Nu Home Owning Group
Address	3895 Foxford Dr
Atlanta, GA 30340","783 Techwood Dr NW, Atlanta, GA 30313",0,0,1,,,,,
Georgia Tech,Phi Kappa Tau,Atlanta,"Name	Alpha Rho House Corp Of Phi Kappa Tau
Address	2020 Howell Mill RD NW C-351
Atlanta, GA 30318","175 4th St NW, Atlanta, GA 30313",0,0,1,,,,,
Georgia Tech,Phi Kappa Theta,Atlanta,"Name	Phi Kappa Theta
Address	800 Fowler St Nw
Atlanta, GA 30313","800 Fowler St NW, Atlanta, GA 30313",0,0,1,,,,,
Georgia Tech,Phi Sigma Kappa,Atlanta,"Name	K D Inc
Address	860 Johnson Ferry RD NE 140-124
Atlanta, GA 30342","825 Techwood Dr NW, Atlanta, GA 30332",2,0,1,,,,,
Georgia Tech,Pi Kappa Alpha,Atlanta,"Name	Alpha Delta Corp
Address	5545 Glen Erroll Rd
Atlanta, GA 30327","260 Ferst Dr NW, Atlanta, GA 30318",0,0,1,,,,,
Georgia Tech,Pi Kappa Phi,Atlanta,"Name	Pi Kappa Phi
Address	220 Ferst Dr Nw
Atlanta, GA 30318","220 Ferst Dr NW, Atlanta, GA 30318",0,0,1,,,,,
Georgia Tech,Psi Upsilon,Atlanta,"Name        Psi Upsilon Society Of Ga Inc
Address        133 Peachtree St NE 4925
Atlanta, GA 30303","831 Techwood Dr NW, Atlanta, GA 30313",0,0,1,,,,,
Georgia Tech,Sigma Alpha Epsilon,Atlanta,,"4th St NW, Atlanta, GA 30313",0,0,0,,,,,
Georgia Tech,Sigma Chi,Atlanta,"Name	Beta Psi House Corp
Address	2321 4 St 203
Tucker, GA 30084","770 Techwood Dr NW, Atlanta, GA 30313",0,0,1,,,,,
Georgia Tech,Sigma Nu,Atlanta,,"750 Fowler St, Atlanta, GA 30313",0,0,0,,,,,
Georgia Tech,Sigma Phi Epsilon,Atlanta,"Name	Georgia Alpha Builders Inc
Address	P O Box 79171
Atlanta, GA 30357","190 5th St NW, Atlanta, GA 30332",2,0,1,,,,,
Georgia Tech,Tau Kappa Epsilon,Atlanta,"Name	Tau Kappa Epsilon Of Ga Inc
Address	11140 West Rd
Roswell, GA 30075","159 5th St NW, Atlanta, GA 30313",0,0,1,,,,,
Georgia Tech,Theta Chi,Atlanta,"Name	Alpha Nu Bldg Of Theta Chi Inc
Address	P.o. Box 386
Kennesaw, GA 30156","840 Techwood Dr NW, Atlanta, GA 30313",0,0,1,,,,,
Georgia Tech,Theta Xi,Atlanta,"Name	Beta Alpha Assn Of Theta Xi Fraternity
Address	541 Tenth St 109
Atlanta, GA 30318","777 Techwood Dr NW, Atlanta, GA 30313",0,0,1,,,,,
Georgia Tech,Triangle,Atlanta,,NA,0,0,0,,,,,
Georgia Tech,Zeta Beta Tau,Atlanta,"Name	Zach Inc
Address	P O Box 94112
Atlanta, GA 30377","160 6th St NW, Atlanta, GA 30313",0,0,1,,,,,
University of Denver,Alpha Gamma Omega,Denver,,NA,0,0,0,,,,,
University of Denver,Beta Theta Pi,Denver,"Name	Aspen Gate Properties LLC
Address	1942 Broadway #314
Boulder, CO 80302-5233","2424 S York St, Denver, CO 80210",1,0,1,,,,,
University of Denver,Delta Chi,Denver,,NA,0,0,0,,,,,
University of Denver,Lambda Chi Alpha,Denver,,"2217 E Evans Ave, Denver, CO 80210",0,0,0,,,,,
University of Denver,Pi Kappa Phi,Denver,,NA,0,0,0,,,,,
University of Denver,Sigma Chi,Denver,"Name        AGD Fraternity Housing Corp -Epsilon Gamma
Address        8710 N Meridian ST #
Indianapolis, IN 46260","2203 S Josephine St, Denver, CO 80210",0,0,1,,,,,
University of Denver,Sigma Alpha Epsilon,Denver,,"2050 S Gaylord St, Denver, CO 80210",,,,1,,,,
Univeristy of Denver,Theta Chi,Denver,,NA,0,0,0,,,,,
University of Denver,Zeta Beta Tau,Denver,,"1959 S Columbine St, Denver, CO 80210",0,0,0,,,,,
UPenn,Alpha Epsilon Pi,Philadelphia,"Name	Simon Associates Limited
Address	4043 Walnut St
Philadelphia, PA 19104","122 S 41st St, Philadelphia, PA 19104",1,0,0,,,,,
UPenn,Sigma Nu,Philadelphia,,"3819 Walnut St, Philadelphia, PA 19104",0,0,0,,,,,
UPenn,Alpha Chi Rho,Philadelphia,"Name        Phi Phi Club Of Alpha
Address        32 Brookview Dr
Lititz, PA 17543","219 S 36th St, Philadelphia, PA 19104",0,0,0,,,,,
UPenn,Delta Psi,Philadelphia,"Name        Delta Alumni Association
Address        PO Box 2278
Columbus, GA 31902","3637 Locust Walk, Philadelphia, PA 19104",0,0,0,,,,,
UPenn,Alpha Sigma Phi,Philadelphia,"Name        PKB17 LLC
Address        8006 Arlington Ave
Upper Darby, PA 19082","4030 Spruce St, Philadelphia, PA 19104",0,0,0,,,,,
UPenn,Alpha Delta Phi,Philadelphia,,,0,0,0,,,,,
UPenn,Delta Tau Delta,Philadelphia,,,0,0,0,,,,,
,Alpha Delta Phi,,,,0,0,0,,,,,
,Alpha Tau Omega,,,,0,0,0,,,,,
,Beta Theta Pi,,,,0,0,0,,,,,
,Chi Phi,,,,0,0,0,,,,,
,Delta Sigma Phi,,,,0,0,0,,,,,
,Delta Tau Delta,,,,0,0,0,,,,,
,Delta Upsilon,,,,0,0,0,,,,,
,Lambda Chi Alpha,,,,0,0,0,,,,,
,Phi Gamma Delta,,,,0,0,0,,,,,
,Phi Kappa Psi,,,,0,0,0,,,,,
,Phi Kappa Tau,,,,0,0,0,,,,,
,Psi Upsilon,,,,0,0,0,,,,,
,Sigma Chi,,,,0,0,0,,,,,
,Sigma Nu,,,,0,0,0,,,,,
,Theta Delta Chi,,,,0,0,0,,,,,
,Theta Xi,,,,0,0,0,,,,,
